Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

12:31:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:16:12 PM  all   92.57    0.00    6.58    0.00    0.00    0.03    0.00    0.00    0.00    0.82
03:16:19 PM  all   92.92    0.00    6.22    0.00    0.00    0.02    0.00    0.00    0.00    0.85
03:16:42 PM  all   33.59    0.00    2.44    0.00    0.00    0.01    0.00    0.00    0.00   63.95
03:16:49 PM  all   11.96    0.00    1.05    0.00    0.00    0.02    0.00    0.00    0.00   86.97
03:17:12 PM  all    0.08    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.74
03:17:19 PM  all    0.05    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:17:42 PM  all    0.10    0.00    0.23    0.00    0.00    0.00    0.00    0.00    0.00   99.67
03:17:49 PM  all    1.57    0.00    0.50    0.00    0.00    0.01    0.00    0.00    0.00   97.91
03:18:12 PM  all    1.57    0.00    0.50    0.00    0.00    0.01    0.00    0.00    0.00   97.91
03:18:19 PM  all    0.12    0.00    0.27    0.00    0.00    0.01    0.00    0.00    0.00   99.61
03:18:42 PM  all   43.04    0.00    2.91    0.00    0.00    0.01    0.00    0.00    0.00   54.05
03:18:49 PM  all   63.65    0.00    5.28    0.00    0.00    0.02    0.00    0.00    0.00   31.06
03:19:12 PM  all   90.40    0.00    8.60    0.00    0.00    0.05    0.00    0.00    0.00    0.95
03:19:19 PM  all   91.20    0.00    7.68    0.00    0.00    0.06    0.00    0.00    0.00    1.06
03:19:42 PM  all   90.76    0.00    6.76    0.00    0.00    0.07    0.00    0.00    0.00    2.41
03:19:49 PM  all   88.97    0.00    7.76    0.00    0.00    0.06    0.00    0.00    0.00    3.20
03:20:12 PM  all   50.23    0.00    7.48    0.00    0.00    0.08    0.00    0.00    0.00   42.22
03:20:19 PM  all   30.50    0.00    4.95    0.00    0.00    0.07    0.00    0.00    0.00   64.47
03:20:42 PM  all    0.39    0.00    0.83    0.01    0.00    0.03    0.00    0.00    0.00   98.74
03:20:49 PM  all    0.80    0.00    1.28    0.02    0.00    0.04    0.00    0.00    0.00   97.85
Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)
03:21:12 PM  all   56.21    0.00    8.46    0.03    0.00    0.16    0.00    0.00    0.00   35.13
03:21:19 PM  all   77.37    0.00    9.49    0.03    0.00    0.15    0.00    0.00    0.00   12.95

03:20:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:26 PM  all   92.61    0.00    6.59    0.00    0.00    0.03    0.00    0.00    0.00    0.77
03:21:42 PM  all   91.29    0.00    7.78    0.00    0.00    0.04    0.00    0.00    0.00    0.89
03:21:49 PM  all   91.44    0.00    7.63    0.00    0.00    0.04    0.00    0.00    0.00    0.89
03:21:56 PM  all   91.41    0.00    7.68    0.00    0.00    0.04    0.00    0.00    0.00    0.87
03:22:12 PM  all   93.20    0.00    6.11    0.00    0.00    0.02    0.00    0.00    0.00    0.67
Average:     all   54.68    0.00    4.80    0.01    0.00    0.04    0.00    0.00    0.00   40.48
03:22:19 PM  all   93.22    0.00    6.12    0.00    0.00    0.02    0.00    0.00    0.00    0.64
03:22:26 PM  all   93.03    0.00    6.31    0.00    0.00    0.02    0.00    0.00    0.00    0.65
03:22:49 PM  all   93.02    0.00    6.26    0.00    0.00    0.03    0.00    0.00    0.00    0.69
